,Country_Name,Date_Joined
69,Guinea                                                      ,2016-09-21
70,Guinea Bissau                                               ,2018-10-22
71,Guyana                                                      ,2016-05-20
72,Haiti                                                       ,2017-07-31
73,Honduras                                                    ,2016-09-21
74,Hungary                                                     ,2016-10-05
75,India                                                       ,2016-10-02
76,Indonesia                                                   ,2016-10-31
77,Iraq                                                        ,2021-11-01
78,Ireland                                                     ,2016-11-04
79,Israel                                                      ,2016-11-22
80,Italy                                                       ,2016-11-11
81,Jamaica                                                     ,2017-04-10
82,Jordan                                                      ,2016-11-04
83,Kazakhstan                                                  ,2016-12-06
84,Kenya                                                       ,2016-12-28
85,Kiribati                                                    ,2016-09-21
86,Kuwait                                                      ,2018-04-23
87,Kyrgyzstan                                                  ,2020-02-18
88,Lao People's Democratic Republic                            ,2016-09-07
89,Latvia                                                      ,2017-03-16
90,Lebanon                                                     ,2020-02-05
91,Lesotho                                                     ,2017-01-20
92,Liberia                                                     ,2018-08-27
93,Liechtenstein                                               ,2017-09-20
94,Lithuania                                                   ,2017-02-02
95,Luxembourg                                                  ,2016-11-04
96,Madagascar                                                  ,2016-09-21
97,Malawi                                                      ,2017-06-29
98,Malaysia                                                    ,2016-11-16
99,Maldives                                                    ,2016-04-22
100,Mali                                                        ,2016-09-23
101,Malta                                                       ,2016-10-05
102,Marshall Islands                                            ,2016-04-22
103,Mauritania                                                  ,2017-02-27
104,Mauritius                                                   ,2016-04-22
105,Mexico                                                      ,2016-09-21
106,Micronesia                                                  ,2016-09-15
107,Monaco                                                      ,2016-10-24
108,Mongolia                                                    ,2016-09-21
109,Montenegro                                                  ,2017-12-20
110,Morocco                                                     ,2016-09-21
111,Mozambique                                                  ,2018-06-04
112,Myanmar                                                     ,2017-09-19
113,Namibia                                                     ,2016-09-21
114,Nauru                                                       ,2016-04-22
115,Nepal                                                       ,2016-10-05
116,New Zealand                                                 ,2016-10-04
117,Niger                                                       ,2016-09-21
118,Nigeria                                                     ,2017-05-16
119,Niue                                                        ,2016-10-28
120,North Macedonia                                             ,2018-01-09
121,Norway                                                      ,2016-06-20
122,Oman                                                        ,2019-05-22
123,Pakistan                                                    ,2016-11-10
124,Palau                                                       ,2016-04-22
125,Panama                                                      ,2016-09-21
126,Papua New Guinea                                            ,2016-09-21
127,Paraguay                                                    ,2016-10-14
128,Peru                                                        ,2016-07-25
129,Philippines                                                 ,2017-03-23
130,Poland                                                      ,2016-10-07
131,Portugal                                                    ,2016-10-05
132,Qatar                                                       ,2017-06-23
133,Republic of Korea                                           ,2016-11-03
134,Moldova                                                     ,2017-06-20
135,Romania                                                     ,2017-06-01
136,Rwanda                                                      ,2016-10-06
137,Samoa                                                       ,2016-04-22
138,San Marino                                                  ,2018-09-26
139,Sao Tome and Principe                                       ,2016-11-02
140,Saudi Arabia                                                ,2016-11-03
141,Senegal                                                     ,2016-09-21
142,Serbia                                                      ,2017-07-25
143,Seychelles                                                  ,2016-04-29
144,Sierra Leone                                                ,2016-11-01
145,Singapore                                                   ,2016-09-21
146,Slovakia                                                    ,2016-10-05
147,Slovenia                                                    ,2016-12-16
148,Solomon Islands                                             ,2016-09-21
149,Somalia                                                     ,2016-04-22
150,South Africa                                                ,2016-11-01
151,South Sudan                                                 ,2021-02-23
152,Spain                                                       ,2017-01-12
153,Sri Lanka                                                   ,2016-09-21
154,St.Kitts and Nevis                                          ,2016-04-22
155,St.Lucia                                                    ,2016-04-22
156,St.Vincent and the Grenadines                               ,2016-06-29
157,State of Palestine                                          ,2016-04-22
158,Sudan                                                       ,2017-08-02
159,Suriname                                                    ,2019-02-13
160,Sweden                                                      ,2016-10-13
161,Switzerland                                                 ,2017-10-06
162,Tajikistan                                                  ,2017-03-22
163,Thailand                                                    ,2016-09-21
164,Timor Leste                                                 ,2017-08-16
165,Togo                                                        ,2017-06-28
166,Tonga                                                       ,2016-09-21
167,Trinidad and Tobago                                         ,2018-02-22
168,Tunisia                                                     ,2017-02-10
169,Turkey                                                      ,2021-10-11
170,Turkmenistan                                                ,2016-10-20
171,Tuvalu                                                      ,2016-04-22
172,Uganda                                                      ,2016-09-21
173,Ukraine                                                     ,2016-09-19
174,United Kingdom                                              ,2016-11-18
175,Tanzania                                                    ,2018-05-18
176,Uruguay                                                     ,2016-10-19
177,Uzbekistan                                                  ,2018-11-09
178,Vanuatu                                                     ,2016-09-21
179,Venezuela                                                   ,2017-07-21
180,Zambia                                                      ,2016-12-09
181,Zimbabwe                                                    ,2017-08-07
